NIM,Nama Mahasiswa,Jenis Kelamin,Tanggal Lahir,Alamat,Program Studi,Tahun Masuk
NIM00022,Mahasiswa_22,Laki-Laki,3/29/1999 0:00,Surabaya,Hukum,2017
NIM00023,Mahasiswa_23,Perempuan,11/1/2000 0:00,Yogyakarta,Manajemen,2023
NIM00024,Mahasiswa_24,Perempuan,9/20/2004 0:00,Bandung,Hukum,2022
NIM00025,Mahasiswa_25,Perempuan,11/21/2001 0:00,Bandung,Akuntansi,2021
NIM00026,Mahasiswa_26,Perempuan,11/16/1999 0:00,Bandung,Teknik Informatika,2019
NIM00027,Mahasiswa_27,Perempuan,6/6/2001 0:00,Yogyakarta,Akuntansi,2020
NIM00028,Mahasiswa_28,Perempuan,6/5/2003 0:00,Jakarta,Kedokteran,2021
NIM00029,Mahasiswa_29,Perempuan,5/19/1997 0:00,Medan,Kedokteran,2018
NIM00030,Mahasiswa_30,Perempuan,5/1/2002 0:00,Surabaya,Hukum,2022
NIM00031,Mahasiswa_31,Laki-Laki,3/5/1996 0:00,Jakarta,Hukum,2020
NIM00032,Mahasiswa_32,Laki-Laki,4/17/2001 0:00,Surabaya,Manajemen,2021
NIM00033,Mahasiswa_33,Perempuan,5/26/1996 0:00,Medan,Manajemen,2017
NIM00034,Mahasiswa_34,Perempuan,5/17/1998 0:00,Yogyakarta,Kedokteran,2018
NIM00035,Mahasiswa_35,Perempuan,6/11/2001 0:00,Bandung,Teknik Informatika,2020
NIM00036,Mahasiswa_36,Laki-Laki,4/10/1997 0:00,Bandung,Akuntansi,2017
NIM00037,Mahasiswa_37,Perempuan,12/3/1996 0:00,Yogyakarta,Manajemen,2022
NIM00038,Mahasiswa_38,Laki-Laki,11/2/2004 0:00,Jakarta,Manajemen,2018
NIM00039,Mahasiswa_39,Laki-Laki,5/21/2001 0:00,Jakarta,Teknik Informatika,2019
NIM00040,Mahasiswa_40,Laki-Laki,3/24/1995 0:00,Surabaya,Teknik Informatika,2017
NIM00041,Mahasiswa_41,Laki-Laki,6/26/2002 0:00,Yogyakarta,Hukum,2021
NIM00042,Mahasiswa_42,Laki-Laki,7/17/1997 0:00,Jakarta,Akuntansi,2023
NIM00043,Mahasiswa_43,Perempuan,4/21/1996 0:00,Yogyakarta,Teknik Informatika,2020
NIM00044,Mahasiswa_44,Perempuan,2/25/1997 0:00,Medan,Manajemen,2018
NIM00045,Mahasiswa_45,Perempuan,6/28/1999 0:00,Bandung,Manajemen,2017
NIM00046,Mahasiswa_46,Perempuan,7/5/2002 0:00,Bandung,Kedokteran,2019
NIM00047,Mahasiswa_47,Perempuan,8/5/2004 0:00,Bandung,Teknik Informatika,2023
NIM00048,Mahasiswa_48,Laki-Laki,11/12/2001 0:00,Yogyakarta,Hukum,2020
NIM00049,Mahasiswa_49,Perempuan,8/5/2001 0:00,Yogyakarta,Akuntansi,2020
NIM00050,Mahasiswa_50,Perempuan,4/30/2001 0:00,Surabaya,Hukum,2017
NIM00051,Mahasiswa_51,Laki-Laki,6/24/2002 0:00,Bandung,Manajemen,2019
NIM00052,Mahasiswa_52,Perempuan,1/23/1995 0:00,Surabaya,Hukum,2022
NIM00053,Mahasiswa_53,Laki-Laki,8/1/1998 0:00,Bandung,Manajemen,2023
NIM00054,Mahasiswa_54,Perempuan,8/22/2000 0:00,Surabaya,Manajemen,2022
NIM00055,Mahasiswa_55,Laki-Laki,1/13/2003 0:00,Surabaya,Manajemen,2018
NIM00056,Mahasiswa_56,Perempuan,4/10/1996 0:00,Medan,Manajemen,2017
NIM00057,Mahasiswa_57,Perempuan,1/24/1995 0:00,Surabaya,Manajemen,2023
NIM00058,Mahasiswa_58,Laki-Laki,12/29/2004 0:00,Yogyakarta,Kedokteran,2018
NIM00059,Mahasiswa_59,Laki-Laki,1/11/1996 0:00,Surabaya,Hukum,2022
NIM00060,Mahasiswa_60,Laki-Laki,9/30/2001 0:00,Bandung,Kedokteran,2023
NIM00061,Mahasiswa_61,Laki-Laki,10/8/1997 0:00,Surabaya,Kedokteran,2020
NIM00062,Mahasiswa_62,Laki-Laki,4/3/2004 0:00,Jakarta,Teknik Informatika,2018
NIM00063,Mahasiswa_63,Laki-Laki,7/19/1996 0:00,Bandung,Teknik Informatika,2019
NIM00064,Mahasiswa_64,Laki-Laki,1/21/2001 0:00,Jakarta,Teknik Informatika,2021
NIM00065,Mahasiswa_65,Laki-Laki,12/5/1996 0:00,Bandung,Akuntansi,2022
NIM00066,Mahasiswa_66,Perempuan,7/30/1997 0:00,Yogyakarta,Teknik Informatika,2022
NIM00067,Mahasiswa_67,Perempuan,5/20/2001 0:00,Yogyakarta,Hukum,2019
NIM00068,Mahasiswa_68,Laki-Laki,10/20/1998 0:00,Yogyakarta,Kedokteran,2023
NIM00069,Mahasiswa_69,Perempuan,10/25/1995 0:00,Jakarta,Hukum,2023
NIM00070,Mahasiswa_70,Perempuan,4/11/1999 0:00,Medan,Teknik Informatika,2023
NIM00071,Mahasiswa_71,Perempuan,10/31/2003 0:00,Bandung,Akuntansi,2018
NIM00072,Mahasiswa_72,Perempuan,12/25/2002 0:00,Yogyakarta,Akuntansi,2017
NIM00073,Mahasiswa_73,Laki-Laki,1/28/2003 0:00,Bandung,Kedokteran,2020
NIM00074,Mahasiswa_74,Perempuan,2/10/2004 0:00,Jakarta,Hukum,2021
NIM00075,Mahasiswa_75,Laki-Laki,12/21/2003 0:00,Medan,Manajemen,2017
NIM00076,Mahasiswa_76,Perempuan,10/30/2001 0:00,Jakarta,Hukum,2017
NIM00077,Mahasiswa_77,Perempuan,5/26/1998 0:00,Bandung,Teknik Informatika,2019
NIM00078,Mahasiswa_78,Perempuan,9/13/1999 0:00,Medan,Manajemen,2018
NIM00079,Mahasiswa_79,Laki-Laki,8/15/1995 0:00,Medan,Akuntansi,2022
NIM00080,Mahasiswa_80,Perempuan,8/24/1995 0:00,Jakarta,Kedokteran,2022
NIM00081,Mahasiswa_81,Laki-Laki,12/27/1997 0:00,Yogyakarta,Kedokteran,2019
NIM00082,Mahasiswa_82,Perempuan,1/13/2002 0:00,Bandung,Akuntansi,2018
NIM00083,Mahasiswa_83,Laki-Laki,7/28/1996 0:00,Surabaya,Teknik Informatika,2019
NIM00084,Mahasiswa_84,Perempuan,8/17/1998 0:00,Surabaya,Akuntansi,2022
NIM00085,Mahasiswa_85,Laki-Laki,4/9/1996 0:00,Jakarta,Teknik Informatika,2017
NIM00086,Mahasiswa_86,Laki-Laki,1/31/1999 0:00,Bandung,Manajemen,2020
NIM00087,Mahasiswa_87,Perempuan,1/16/2003 0:00,Bandung,Akuntansi,2023
NIM00088,Mahasiswa_88,Laki-Laki,5/17/1995 0:00,Jakarta,Teknik Informatika,2018
NIM00089,Mahasiswa_89,Perempuan,11/25/1999 0:00,Bandung,Manajemen,2021
NIM00090,Mahasiswa_90,Perempuan,6/15/2003 0:00,Yogyakarta,Akuntansi,2021
NIM00091,Mahasiswa_91,Perempuan,11/6/1995 0:00,Jakarta,Kedokteran,2017
NIM00092,Mahasiswa_92,Perempuan,4/10/2003 0:00,Yogyakarta,Akuntansi,2019
NIM00093,Mahasiswa_93,Perempuan,4/19/2002 0:00,Bandung,Hukum,2019
NIM00094,Mahasiswa_94,Perempuan,12/9/1998 0:00,Jakarta,Akuntansi,2022
NIM00095,Mahasiswa_95,Perempuan,6/21/2004 0:00,Bandung,Hukum,2017
NIM00096,Mahasiswa_96,Perempuan,8/25/1999 0:00,Jakarta,Manajemen,2022
NIM00097,Mahasiswa_97,Perempuan,6/11/1999 0:00,Bandung,Akuntansi,2022
NIM00098,Mahasiswa_98,Perempuan,8/3/2000 0:00,Yogyakarta,Manajemen,2021
NIM00099,Mahasiswa_99,Perempuan,9/21/2001 0:00,Yogyakarta,Manajemen,2022
NIM00100,Mahasiswa_100,Laki-Laki,9/20/2002 0:00,Bandung,Teknik Informatika,2023
NIM00101,Mahasiswa_101,Laki-Laki,10/19/2002 0:00,Jakarta,Manajemen,2022
NIM00102,Mahasiswa_102,Perempuan,9/30/1996 0:00,Surabaya,Manajemen,2021
NIM00103,Mahasiswa_103,Perempuan,1/3/2003 0:00,Yogyakarta,Akuntansi,2023
NIM00104,Mahasiswa_104,Perempuan,1/28/2001 0:00,Yogyakarta,Akuntansi,2019
NIM00105,Mahasiswa_105,Perempuan,11/22/1998 0:00,Surabaya,Kedokteran,2018
NIM00106,Mahasiswa_106,Perempuan,5/29/1998 0:00,Bandung,Teknik Informatika,2020
NIM00107,Mahasiswa_107,Perempuan,1/28/2002 0:00,Jakarta,Manajemen,2022
NIM00108,Mahasiswa_108,Perempuan,11/6/1998 0:00,Bandung,Teknik Informatika,2023
NIM00109,Mahasiswa_109,Perempuan,3/5/2000 0:00,Medan,Hukum,2018
NIM00110,Mahasiswa_110,Laki-Laki,12/22/1999 0:00,Yogyakarta,Manajemen,2021
NIM00111,Mahasiswa_111,Perempuan,1/21/1997 0:00,Medan,Teknik Informatika,2018
NIM00112,Mahasiswa_112,Laki-Laki,9/8/2004 0:00,Yogyakarta,Kedokteran,2020
NIM00113,Mahasiswa_113,Perempuan,8/22/1996 0:00,Yogyakarta,Kedokteran,2018
NIM00114,Mahasiswa_114,Perempuan,8/15/2003 0:00,Medan,Manajemen,2023
NIM00115,Mahasiswa_115,Laki-Laki,1/13/2004 0:00,Medan,Hukum,2018
NIM00116,Mahasiswa_116,Perempuan,11/9/2003 0:00,Bandung,Kedokteran,2018
NIM00117,Mahasiswa_117,Laki-Laki,2/18/1995 0:00,Medan,Kedokteran,2018
NIM00118,Mahasiswa_118,Perempuan,4/27/2004 0:00,Bandung,Hukum,2017
NIM00119,Mahasiswa_119,Perempuan,2/23/1997 0:00,Bandung,Teknik Informatika,2022
NIM00120,Mahasiswa_120,Laki-Laki,5/18/2002 0:00,Bandung,Kedokteran,2021
NIM00121,Mahasiswa_121,Perempuan,2/22/2000 0:00,Yogyakarta,Akuntansi,2020
NIM00122,Mahasiswa_122,Laki-Laki,2/13/1999 0:00,Yogyakarta,Kedokteran,2021
NIM00123,Mahasiswa_123,Perempuan,10/30/1999 0:00,Medan,Teknik Informatika,2017
NIM00124,Mahasiswa_124,Laki-Laki,2/22/2000 0:00,Yogyakarta,Teknik Informatika,2017
NIM00125,Mahasiswa_125,Laki-Laki,3/15/2001 0:00,Medan,Manajemen,2023
NIM00126,Mahasiswa_126,Perempuan,2/15/1995 0:00,Yogyakarta,Akuntansi,2017
NIM00127,Mahasiswa_127,Perempuan,1/13/2003 0:00,Jakarta,Teknik Informatika,2022
NIM00128,Mahasiswa_128,Laki-Laki,6/14/1997 0:00,Jakarta,Hukum,2017
NIM00129,Mahasiswa_129,Perempuan,4/12/1998 0:00,Medan,Akuntansi,2018
NIM00130,Mahasiswa_130,Perempuan,10/6/2004 0:00,Yogyakarta,Akuntansi,2021
NIM00131,Mahasiswa_131,Perempuan,9/15/1995 0:00,Yogyakarta,Hukum,2019
NIM00132,Mahasiswa_132,Laki-Laki,12/2/2004 0:00,Bandung,Kedokteran,2020
NIM00133,Mahasiswa_133,Laki-Laki,12/22/1997 0:00,Surabaya,Hukum,2017
NIM00134,Mahasiswa_134,Laki-Laki,5/17/1996 0:00,Medan,Hukum,2021
NIM00135,Mahasiswa_135,Laki-Laki,6/11/1996 0:00,Surabaya,Kedokteran,2023
NIM00136,Mahasiswa_136,Laki-Laki,4/21/1995 0:00,Surabaya,Kedokteran,2017
NIM00137,Mahasiswa_137,Laki-Laki,4/12/2002 0:00,Medan,Kedokteran,2022
NIM00138,Mahasiswa_138,Laki-Laki,1/17/1997 0:00,Yogyakarta,Kedokteran,2017
NIM00139,Mahasiswa_139,Laki-Laki,9/25/1997 0:00,Medan,Kedokteran,2017
NIM00140,Mahasiswa_140,Laki-Laki,6/30/2000 0:00,Surabaya,Hukum,2017
NIM00141,Mahasiswa_141,Perempuan,1/24/2002 0:00,Yogyakarta,Manajemen,2023
NIM00142,Mahasiswa_142,Laki-Laki,1/29/2003 0:00,Jakarta,Manajemen,2017
NIM00143,Mahasiswa_143,Perempuan,6/20/2003 0:00,Medan,Teknik Informatika,2020
NIM00144,Mahasiswa_144,Perempuan,8/16/1998 0:00,Medan,Manajemen,2021
NIM00145,Mahasiswa_145,Perempuan,7/7/1999 0:00,Yogyakarta,Manajemen,2022
NIM00146,Mahasiswa_146,Laki-Laki,12/11/1996 0:00,Jakarta,Hukum,2017
NIM00147,Mahasiswa_147,Laki-Laki,8/18/2003 0:00,Jakarta,Kedokteran,2017
NIM00148,Mahasiswa_148,Laki-Laki,11/17/2002 0:00,Yogyakarta,Kedokteran,2017
NIM00149,Mahasiswa_149,Laki-Laki,12/6/1997 0:00,Bandung,Hukum,2017
NIM00150,Mahasiswa_150,Perempuan,4/29/2003 0:00,Medan,Manajemen,2018
NIM00151,Mahasiswa_151,Laki-Laki,6/5/1997 0:00,Medan,Hukum,2018
NIM00152,Mahasiswa_152,Laki-Laki,9/29/2003 0:00,Surabaya,Teknik Informatika,2019
NIM00153,Mahasiswa_153,Laki-Laki,6/23/1996 0:00,Yogyakarta,Kedokteran,2017
NIM00154,Mahasiswa_154,Laki-Laki,4/13/2004 0:00,Surabaya,Akuntansi,2019
NIM00155,Mahasiswa_155,Laki-Laki,4/2/2003 0:00,Surabaya,Teknik Informatika,2020
NIM00156,Mahasiswa_156,Perempuan,7/5/2002 0:00,Jakarta,Teknik Informatika,2019
NIM00157,Mahasiswa_157,Laki-Laki,10/10/2003 0:00,Medan,Hukum,2021
NIM00158,Mahasiswa_158,Perempuan,6/30/1999 0:00,Surabaya,Manajemen,2018
NIM00159,Mahasiswa_159,Laki-Laki,6/18/1996 0:00,Jakarta,Kedokteran,2018
NIM00160,Mahasiswa_160,Perempuan,7/6/2002 0:00,Yogyakarta,Akuntansi,2017
NIM00161,Mahasiswa_161,Laki-Laki,6/23/2000 0:00,Surabaya,Teknik Informatika,2017
NIM00162,Mahasiswa_162,Laki-Laki,8/10/2002 0:00,Medan,Akuntansi,2020
NIM00163,Mahasiswa_163,Perempuan,8/21/1999 0:00,Surabaya,Manajemen,2022
NIM00164,Mahasiswa_164,Perempuan,6/10/2004 0:00,Yogyakarta,Manajemen,2020
NIM00165,Mahasiswa_165,Perempuan,5/13/1996 0:00,Surabaya,Akuntansi,2021
NIM00166,Mahasiswa_166,Laki-Laki,8/11/2000 0:00,Medan,Kedokteran,2017
NIM00167,Mahasiswa_167,Perempuan,6/2/1999 0:00,Jakarta,Manajemen,2017
NIM00168,Mahasiswa_168,Laki-Laki,2/2/1999 0:00,Medan,Akuntansi,2020
NIM00169,Mahasiswa_169,Laki-Laki,2/24/1995 0:00,Jakarta,Teknik Informatika,2020
NIM00170,Mahasiswa_170,Perempuan,1/7/1996 0:00,Bandung,Akuntansi,2020
NIM00171,Mahasiswa_171,Perempuan,9/1/2002 0:00,Medan,Akuntansi,2018
NIM00172,Mahasiswa_172,Laki-Laki,11/9/1997 0:00,Medan,Hukum,2019
NIM00173,Mahasiswa_173,Laki-Laki,5/5/2004 0:00,Yogyakarta,Manajemen,2019
NIM00174,Mahasiswa_174,Perempuan,1/12/1997 0:00,Surabaya,Kedokteran,2017
NIM00175,Mahasiswa_175,Perempuan,1/16/2002 0:00,Jakarta,Kedokteran,2018
NIM00176,Mahasiswa_176,Perempuan,7/27/2002 0:00,Jakarta,Hukum,2020
NIM00177,Mahasiswa_177,Laki-Laki,2/12/1996 0:00,Yogyakarta,Kedokteran,2017
NIM00178,Mahasiswa_178,Laki-Laki,5/15/2002 0:00,Yogyakarta,Akuntansi,2018
NIM00179,Mahasiswa_179,Laki-Laki,8/16/1995 0:00,Surabaya,Hukum,2021
NIM00180,Mahasiswa_180,Laki-Laki,4/20/2000 0:00,Surabaya,Teknik Informatika,2022
NIM00181,Mahasiswa_181,Laki-Laki,11/3/2002 0:00,Medan,Manajemen,2018
NIM00182,Mahasiswa_182,Laki-Laki,6/9/1997 0:00,Bandung,Manajemen,2023
NIM00183,Mahasiswa_183,Perempuan,11/27/2002 0:00,Surabaya,Manajemen,2017
NIM00184,Mahasiswa_184,Laki-Laki,9/21/1995 0:00,Yogyakarta,Akuntansi,2019
NIM00185,Mahasiswa_185,Laki-Laki,8/13/2003 0:00,Surabaya,Teknik Informatika,2023
NIM00186,Mahasiswa_186,Laki-Laki,8/5/2003 0:00,Jakarta,Hukum,2020
NIM00187,Mahasiswa_187,Perempuan,2/14/1999 0:00,Bandung,Hukum,2022
NIM00188,Mahasiswa_188,Laki-Laki,8/1/2004 0:00,Medan,Manajemen,2021
NIM00189,Mahasiswa_189,Laki-Laki,2/28/1998 0:00,Jakarta,Teknik Informatika,2022
NIM00190,Mahasiswa_190,Perempuan,5/11/2000 0:00,Jakarta,Teknik Informatika,2022
NIM00191,Mahasiswa_191,Laki-Laki,4/14/2001 0:00,Bandung,Teknik Informatika,2018
NIM00192,Mahasiswa_192,Laki-Laki,7/14/1999 0:00,Medan,Kedokteran,2017
NIM00193,Mahasiswa_193,Laki-Laki,6/5/2004 0:00,Yogyakarta,Kedokteran,2017
NIM00194,Mahasiswa_194,Laki-Laki,4/8/2003 0:00,Medan,Manajemen,2022
NIM00195,Mahasiswa_195,Laki-Laki,8/14/1997 0:00,Surabaya,Teknik Informatika,2020
NIM00196,Mahasiswa_196,Perempuan,7/24/2001 0:00,Jakarta,Teknik Informatika,2017
NIM00197,Mahasiswa_197,Perempuan,3/19/2004 0:00,Surabaya,Hukum,2022
NIM00198,Mahasiswa_198,Perempuan,5/3/2004 0:00,Yogyakarta,Hukum,2017
NIM00199,Mahasiswa_199,Laki-Laki,8/6/1999 0:00,Surabaya,Manajemen,2020
NIM00200,Mahasiswa_200,Laki-Laki,1/4/2001 0:00,Medan,Teknik Informatika,2021
NIM00201,Mahasiswa_201,Laki-Laki,3/30/1996 0:00,Surabaya,Manajemen,2023
NIM00202,Mahasiswa_202,Perempuan,4/14/1998 0:00,Yogyakarta,Hukum,2022
NIM00203,Mahasiswa_203,Laki-Laki,4/28/1996 0:00,Yogyakarta,Hukum,2019
NIM00204,Mahasiswa_204,Laki-Laki,5/13/2001 0:00,Yogyakarta,Kedokteran,2019
NIM00205,Mahasiswa_205,Perempuan,11/7/1996 0:00,Medan,Manajemen,2022
NIM00206,Mahasiswa_206,Laki-Laki,4/6/1995 0:00,Yogyakarta,Manajemen,2018
NIM00207,Mahasiswa_207,Perempuan,11/27/2003 0:00,Jakarta,Teknik Informatika,2021
NIM00208,Mahasiswa_208,Perempuan,5/23/1995 0:00,Yogyakarta,Teknik Informatika,2018
NIM00209,Mahasiswa_209,Perempuan,10/15/2002 0:00,Surabaya,Kedokteran,2023
NIM00210,Mahasiswa_210,Laki-Laki,1/28/1996 0:00,Surabaya,Akuntansi,2019
NIM00211,Mahasiswa_211,Laki-Laki,10/5/2002 0:00,Surabaya,Akuntansi,2020
NIM00212,Mahasiswa_212,Laki-Laki,8/21/1997 0:00,Medan,Akuntansi,2022
NIM00213,Mahasiswa_213,Laki-Laki,1/17/2000 0:00,Surabaya,Manajemen,2023
NIM00214,Mahasiswa_214,Laki-Laki,2/28/1997 0:00,Medan,Manajemen,2017
NIM00215,Mahasiswa_215,Laki-Laki,3/31/2001 0:00,Medan,Hukum,2019
NIM00216,Mahasiswa_216,Laki-Laki,7/17/2004 0:00,Yogyakarta,Manajemen,2021
NIM00217,Mahasiswa_217,Perempuan,12/28/2003 0:00,Jakarta,Manajemen,2019
NIM00218,Mahasiswa_218,Laki-Laki,1/26/1996 0:00,Yogyakarta,Manajemen,2021
NIM00219,Mahasiswa_219,Perempuan,1/25/1999 0:00,Yogyakarta,Kedokteran,2021
NIM00220,Mahasiswa_220,Laki-Laki,10/27/2000 0:00,Medan,Manajemen,2022
NIM00221,Mahasiswa_221,Laki-Laki,12/5/1998 0:00,Medan,Teknik Informatika,2021
NIM00222,Mahasiswa_222,Laki-Laki,9/24/1998 0:00,Surabaya,Teknik Informatika,2018
NIM00223,Mahasiswa_223,Perempuan,6/30/1998 0:00,Surabaya,Hukum,2023
NIM00224,Mahasiswa_224,Perempuan,12/25/1996 0:00,Yogyakarta,Kedokteran,2020
NIM00225,Mahasiswa_225,Perempuan,3/9/1998 0:00,Bandung,Teknik Informatika,2019
NIM00226,Mahasiswa_226,Perempuan,12/17/1995 0:00,Bandung,Kedokteran,2020
NIM00227,Mahasiswa_227,Laki-Laki,11/16/2000 0:00,Surabaya,Kedokteran,2023
NIM00228,Mahasiswa_228,Perempuan,2/18/1995 0:00,Bandung,Hukum,2017
NIM00229,Mahasiswa_229,Laki-Laki,6/23/2004 0:00,Surabaya,Kedokteran,2023
NIM00230,Mahasiswa_230,Laki-Laki,2/21/2000 0:00,Medan,Manajemen,2019
NIM00231,Mahasiswa_231,Perempuan,4/12/1995 0:00,Yogyakarta,Kedokteran,2020
NIM00232,Mahasiswa_232,Perempuan,8/3/2000 0:00,Jakarta,Hukum,2020
NIM00233,Mahasiswa_233,Perempuan,7/6/2004 0:00,Yogyakarta,Hukum,2022
NIM00234,Mahasiswa_234,Perempuan,2/26/2002 0:00,Surabaya,Hukum,2022
NIM00235,Mahasiswa_235,Perempuan,2/16/1996 0:00,Surabaya,Teknik Informatika,2023
NIM00236,Mahasiswa_236,Perempuan,6/7/1996 0:00,Yogyakarta,Manajemen,2023
NIM00237,Mahasiswa_237,Perempuan,6/23/1998 0:00,Surabaya,Teknik Informatika,2017
NIM00238,Mahasiswa_238,Perempuan,8/30/1997 0:00,Bandung,Akuntansi,2021
NIM00239,Mahasiswa_239,Laki-Laki,10/9/1998 0:00,Bandung,Manajemen,2019
NIM00240,Mahasiswa_240,Perempuan,8/29/2001 0:00,Surabaya,Kedokteran,2022
NIM00241,Mahasiswa_241,Perempuan,1/5/1995 0:00,Surabaya,Hukum,2019
NIM00242,Mahasiswa_242,Laki-Laki,3/24/2000 0:00,Bandung,Akuntansi,2017
NIM00243,Mahasiswa_243,Perempuan,11/4/1997 0:00,Surabaya,Manajemen,2022
NIM00244,Mahasiswa_244,Laki-Laki,12/26/2004 0:00,Surabaya,Teknik Informatika,2022
NIM00245,Mahasiswa_245,Laki-Laki,9/5/2001 0:00,Yogyakarta,Hukum,2021
NIM00246,Mahasiswa_246,Perempuan,2/23/2004 0:00,Jakarta,Teknik Informatika,2019
NIM00247,Mahasiswa_247,Laki-Laki,6/9/1996 0:00,Bandung,Manajemen,2019
NIM00248,Mahasiswa_248,Laki-Laki,8/13/1996 0:00,Yogyakarta,Manajemen,2019
NIM00249,Mahasiswa_249,Laki-Laki,1/15/1998 0:00,Jakarta,Akuntansi,2021
NIM00250,Mahasiswa_250,Laki-Laki,8/12/1995 0:00,Surabaya,Kedokteran,2022
NIM00251,Mahasiswa_251,Perempuan,3/2/1997 0:00,Surabaya,Teknik Informatika,2017
NIM00252,Mahasiswa_252,Laki-Laki,5/2/2003 0:00,Yogyakarta,Akuntansi,2019
NIM00253,Mahasiswa_253,Perempuan,10/4/2001 0:00,Surabaya,Hukum,2020
NIM00254,Mahasiswa_254,Laki-Laki,2/15/2001 0:00,Medan,Kedokteran,2021
NIM00255,Mahasiswa_255,Laki-Laki,10/21/1998 0:00,Yogyakarta,Akuntansi,2018
NIM00256,Mahasiswa_256,Laki-Laki,3/2/1996 0:00,Jakarta,Teknik Informatika,2017
NIM00257,Mahasiswa_257,Laki-Laki,3/27/1998 0:00,Yogyakarta,Manajemen,2020
NIM00258,Mahasiswa_258,Perempuan,7/28/2000 0:00,Bandung,Hukum,2019
NIM00259,Mahasiswa_259,Perempuan,3/19/1997 0:00,Yogyakarta,Teknik Informatika,2018
NIM00260,Mahasiswa_260,Laki-Laki,7/21/1995 0:00,Surabaya,Kedokteran,2017
NIM00261,Mahasiswa_261,Laki-Laki,10/29/2002 0:00,Surabaya,Kedokteran,2021
NIM00262,Mahasiswa_262,Perempuan,8/11/1999 0:00,Medan,Manajemen,2018
NIM00263,Mahasiswa_263,Laki-Laki,8/10/1999 0:00,Medan,Manajemen,2022
NIM00264,Mahasiswa_264,Laki-Laki,1/3/1998 0:00,Medan,Hukum,2023
NIM00265,Mahasiswa_265,Laki-Laki,1/6/2000 0:00,Jakarta,Hukum,2018
NIM00266,Mahasiswa_266,Perempuan,4/3/1997 0:00,Medan,Manajemen,2023
NIM00267,Mahasiswa_267,Perempuan,1/8/2003 0:00,Jakarta,Manajemen,2020
NIM00268,Mahasiswa_268,Perempuan,8/23/1999 0:00,Medan,Kedokteran,2017
NIM00269,Mahasiswa_269,Laki-Laki,4/18/1997 0:00,Jakarta,Manajemen,2020
NIM00270,Mahasiswa_270,Laki-Laki,6/10/1995 0:00,Yogyakarta,Akuntansi,2020
NIM00271,Mahasiswa_271,Perempuan,7/27/2004 0:00,Yogyakarta,Teknik Informatika,2019
NIM00272,Mahasiswa_272,Perempuan,8/27/2000 0:00,Surabaya,Manajemen,2021
NIM00273,Mahasiswa_273,Perempuan,11/26/1996 0:00,Jakarta,Hukum,2018
NIM00274,Mahasiswa_274,Perempuan,11/29/1997 0:00,Bandung,Akuntansi,2017
NIM00275,Mahasiswa_275,Laki-Laki,2/19/1995 0:00,Surabaya,Hukum,2022
NIM00276,Mahasiswa_276,Perempuan,1/11/2003 0:00,Yogyakarta,Akuntansi,2021
NIM00277,Mahasiswa_277,Laki-Laki,12/17/2002 0:00,Jakarta,Manajemen,2021
NIM00278,Mahasiswa_278,Perempuan,6/4/1996 0:00,Medan,Teknik Informatika,2017
NIM00279,Mahasiswa_279,Laki-Laki,3/11/2002 0:00,Bandung,Hukum,2021
